"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
100 1.5 0.5 88 1 1.03698297319493 1.08566945776534 FALSE ""
150 1.5 1.5 76 2 1.348281426268 1.94227624921683 FALSE ""
300 0.5 1.5 95 3 0.454705003930168 1.88956374130198 FALSE ""
150 1 1.5 93 4 0.95833174659808 1.66923661747838 FALSE ""
100 0.5 0.5 15 5 0.323744378419261 0.834553959677408 FALSE ""
300 0.5 1.5 47 6 0.449545689672302 1.91121792059318 FALSE ""
200 1.5 0.5 85 7 1.28509831128819 0.729976499361551 FALSE ""
50 1.5 1.5 38 8 1.07670433039792 1.90600695099662 FALSE ""
50 1 0.5 76 9 0.862762423562818 1.03445656385889 FALSE ""
300 1.5 1.5 64 10 1.64945068137081 1.34753511380259 FALSE ""
100 0.5 1.5 2 11 0.402332463217597 3.4842139234285 FALSE ""
100 1.5 1.5 11 12 1.24001204560349 2.78918999920749 FALSE ""
200 1 0.5 69 13 1.03276024634505 0.454781368831938 FALSE ""
150 1 0.5 56 14 1.56046555835701 0.22527183180671 FALSE ""
100 1 0.5 63 15 1.20295142741091 0.483780383860857 FALSE ""
200 0.5 0.5 100 16 0.395456789884305 1.11596515552623 FALSE ""
300 1 0.5 23 17 1.10667885416528 0.366866372096366 FALSE ""
50 1 0.5 60 18 0.82939651443064 0.729451584101648 FALSE ""
150 1.5 1.5 60 19 1.77195642629798 0.970198020462089 FALSE ""
300 0.5 0.5 43 20 0.402786793771033 0.863798828838256 FALSE ""
300 1 0.5 81 21 0.939758969780284 0.584338255312891 FALSE ""
100 1 0.5 49 22 1.11122217087896 0.327198935754493 FALSE ""
200 1 1.5 8 23 0.884638261171906 2.1571516750331 FALSE ""
50 0.5 1.5 36 24 0.47791047036685 1.24133777484206 FALSE ""
100 0.5 0.5 32 25 0.386292700070588 1.01704439411942 FALSE ""
50 0.5 0.5 45 26 0.598106432205952 0.344330306207451 FALSE ""
300 1 0.5 60 27 1.03173377961407 0.467040924852718 FALSE ""
200 1.5 1.5 3 28 1.21870558201458 2.80412047998914 FALSE ""
100 1 0.5 1 29 1.01754762176212 0.449128660506786 FALSE ""
300 1.5 0.5 45 30 1.26781252136109 0.744082639269065 FALSE ""
100 0.5 1.5 88 31 0.469466612604666 1.96733362243915 FALSE ""
200 1.5 1.5 47 32 1.65596666440314 0.979243364454565 FALSE ""
50 1.5 0.5 47 33 1.74529892558541 0.311021791918566 FALSE ""
100 1 0.5 24 34 0.788706516394588 1.08754334505781 FALSE ""
50 0.5 1.5 73 35 0.775360405370274 0.479335135727892 FALSE ""
50 1 0.5 64 36 1.18711158867458 0.404033269305713 FALSE ""
