"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
150 1.5 0.5 182 1 2.21850500689906 0.245460966272239 FALSE ""
100 0.5 1.5 176 2 0.45219333320904 2.30892408536923 FALSE ""
300 1.5 0.5 35 3 1.43503081814631 0.528720366302762 FALSE ""
300 1.5 1.5 82 4 1.7043741825834 0.957972819160444 FALSE ""
100 0.5 0.5 116 5 0.807135948171458 0.174051575943205 FALSE ""
150 0.5 1.5 101 6 0.484733251706889 1.43863872818841 FALSE ""
150 1 1.5 103 7 1.00875475096779 1.66076820529011 FALSE ""
100 1.5 1.5 127 8 1.50186474476396 1.40920337092884 FALSE ""
300 1 1.5 164 9 0.982786494578717 1.33358466233558 FALSE ""
100 1.5 0.5 97 10 1.16778778183107 0.679071244018999 FALSE ""
150 0.5 1.5 114 11 0.357417722914442 3.46204549778673 FALSE ""
100 1.5 1.5 101 12 1.49746016007125 1.70861191253433 FALSE ""
200 0.5 1.5 92 13 0.352649895621778 4.373818498447 FALSE ""
50 0.5 0.5 107 14 0.575404896274778 0.432583588274767 FALSE ""
300 1.5 1.5 66 15 1.26281003820296 1.85797321211984 FALSE ""
300 0.5 1.5 65 16 0.474127553234634 2.09578013758972 FALSE ""
150 1.5 0.5 2 17 1.28144332849868 0.707018562488336 FALSE ""
50 1 0.5 45 18 0.920626455666597 0.543030246460591 FALSE ""
150 1.5 0.5 26 19 1.77734713270649 0.403773259016658 FALSE ""
50 0.5 0.5 100 20 0.575404896274764 0.432583588274814 FALSE ""
50 1.5 0.5 139 21 1.71656894414296 0.402866623862638 FALSE ""
300 1.5 0.5 121 22 1.35934144961842 0.476448862964298 FALSE ""
50 0.5 0.5 177 23 0.0671519745974065 85561.9458038458 FALSE ""
300 1.5 1.5 98 24 1.71135382755946 1.01484120469634 FALSE ""
300 0.5 0.5 186 25 0.291715115900864 2.12517598151881 FALSE ""
50 1 1.5 65 26 0.817644319539215 2.98425990384381 FALSE ""
200 1 1.5 42 27 0.787763733648422 2.59346443348199 FALSE ""
300 1 0.5 123 28 1.13755662007137 0.327892079321181 FALSE ""
50 1.5 0.5 61 29 1.33458925436659 0.781379077249555 FALSE ""
300 0.5 1.5 196 30 0.420749882013726 2.02027535656374 FALSE ""
50 0.5 1.5 161 31 0.660177910806256 0.654365750849342 FALSE ""
100 0.5 0.5 96 32 0.392246538532652 1.01267183916602 FALSE ""
200 1.5 1.5 74 33 1.51598664335845 1.50302019030503 FALSE ""
150 1 1.5 132 34 0.963020284054933 1.73837488459187 FALSE ""
50 1.5 0.5 157 35 1.43875640156025 0.497132224561341 FALSE ""
200 1 0.5 79 36 1.38195803110056 0.237587578836097 FALSE ""
200 1.5 0.5 110 37 1.42533647556342 0.537063561160835 FALSE ""
100 1.5 1.5 173 38 1.45603806472156 2.11843128135698 FALSE ""
150 0.5 0.5 83 39 0.583250996722567 0.255807194803911 FALSE ""
200 0.5 1.5 199 40 0.445600377355678 1.88435232087095 FALSE ""
200 1 1.5 12 41 0.961857397965868 1.61355848238407 FALSE ""
50 1.5 0.5 189 42 NA NA TRUE "Error in if (dv > olddv && itn >= 2 && auto == TRUE) { : 
  missing value where TRUE/FALSE needed
"
200 1.5 1.5 52 43 1.41048841810847 1.76210300981529 FALSE ""
100 0.5 1.5 78 44 0.485282359308894 2.03015724591307 FALSE ""
50 0.5 1.5 154 45 0.412250953427374 3.1030095700814 FALSE ""
300 1.5 0.5 33 46 1.24258999749973 0.661822548072554 FALSE ""
50 0.5 1.5 127 47 0.412305764648504 2.55557159002191 FALSE ""
300 1.5 1.5 121 48 1.31924353437889 2.00225665270114 FALSE ""
200 1 0.5 137 49 1.10595757719046 0.38703305530205 FALSE ""
100 0.5 1.5 154 50 0.673611913387978 0.644290320271048 FALSE ""
200 0.5 1.5 115 51 0.470156967884573 1.94505601562749 FALSE ""
150 1 0.5 138 52 0.824390561112896 0.780128696613923 FALSE ""
100 1 0.5 133 53 0.995186642643153 0.426669104025999 FALSE ""
200 1.5 1.5 123 54 1.49772987141841 1.25156921413715 FALSE ""
200 1.5 1.5 115 55 1.32190107052916 2.13294147934577 FALSE ""
150 0.5 1.5 7 56 0.456840237364693 1.71398345635239 FALSE ""
300 1.5 0.5 81 57 1.57024087096258 0.409355116397187 FALSE ""
50 1.5 0.5 56 58 0.890075831978954 1.54047236640128 FALSE ""
200 0.5 1.5 144 59 0.432961093037908 2.878110519387 FALSE ""
50 1.5 1.5 172 60 1.34987843825058 2.44936729836389 FALSE ""
150 0.5 1.5 143 61 0.472439759969742 2.20743834176875 FALSE ""
50 0.5 1.5 128 62 0.5594807757371 1.16793676313647 FALSE ""
100 0.5 1.5 102 63 0.401172965928203 3.43997461261793 FALSE ""
100 0.5 1.5 87 64 0.395306868481614 2.05723841616165 FALSE ""
300 0.5 1.5 184 65 0.592573892629897 0.826451179232381 FALSE ""
50 0.5 0.5 154 66 0.596738784967544 0.218996236251567 FALSE ""
200 0.5 0.5 143 67 0.552379002792863 0.449081990931772 FALSE ""
50 1 1.5 141 68 0.930456099747985 2.23657647734714 FALSE ""
50 1.5 0.5 88 69 422747.381652278 2.21463310734088e-16 FALSE ""
200 1.5 1.5 6 70 1.52662708691192 1.47692285270732 FALSE ""
300 1.5 0.5 22 71 1.71199317125277 0.424442167535882 FALSE ""
300 0.5 1.5 116 72 0.476118842745169 1.75676449532812 FALSE ""
300 1 0.5 36 73 0.966047759645807 0.492504333194986 FALSE ""
100 0.5 1.5 86 74 0.373510550821046 3.62636651996365 FALSE ""
50 0.5 0.5 162 75 0.0741942763373129 12322.394622661 FALSE ""
50 1 0.5 132 76 0.907428778526342 0.60484228645251 FALSE ""
50 0.5 1.5 33 77 0.478742466611305 1.55340827773728 FALSE ""
300 0.5 1.5 33 78 0.445174888616762 2.24532240646118 FALSE ""
200 1.5 0.5 103 79 1.56256964631706 0.426961997943243 FALSE ""
300 1.5 1.5 87 80 1.41164486186867 1.53436022016731 FALSE ""
100 1.5 1.5 29 81 1.63328311828601 1.20614806790817 FALSE ""
100 0.5 1.5 153 82 0.387575418891734 2.25323459774833 FALSE ""
300 0.5 0.5 57 83 0.48965195901415 0.549036466960795 FALSE ""
100 1.5 1.5 191 84 1.7207758709086 0.917189642720558 FALSE ""
200 1.5 1.5 184 85 1.22091431218237 2.06268024179298 FALSE ""
300 1 0.5 151 86 1.01003969643639 0.528344647043024 FALSE ""
50 0.5 1.5 22 87 0.375327411998325 2.70481963719139 FALSE ""
300 1.5 0.5 123 88 1.43411386723361 0.574588762719708 FALSE ""
200 1 1.5 149 89 0.995314434671854 1.28375006829551 FALSE ""
50 1.5 1.5 151 90 1.25085458244603 2.56272298632933 FALSE ""
300 1.5 0.5 115 91 1.50518811889893 0.514917536866063 FALSE ""
300 0.5 1.5 31 92 0.528332097399815 1.4667421808055 FALSE ""
300 1.5 1.5 115 93 1.33292226042165 1.81208546207952 FALSE ""
300 1 0.5 25 94 1.21159878678949 0.320242971429877 FALSE ""
50 0.5 1.5 47 95 0.440965995339273 2.20342551551816 FALSE ""
200 1 0.5 134 96 1.16440324776849 0.390095746480093 FALSE ""
150 1.5 0.5 79 97 1.33064927407063 0.596961457630116 FALSE ""
150 1.5 1.5 195 98 1.599893030507 1.36068558499324 FALSE ""
