"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
400 190 1 -1.29523833790798 3.25377418549615 2.20816726091474 -3.09388340240152 FALSE ""
800 155 2 -1.24900129967472 3.34130729426695 2.28043604694226 -3.70711383415052 FALSE ""
600 73 3 -1.27887424400136 3.29547538911475 2.20816716808191 -3.26931005735586 FALSE ""
1000 198 4 -1.43346393359963 3.49137383209571 2.26631864484944 -3.33049648052466 FALSE ""
800 38 5 -1.32749709747 3.3838046612896 2.01802996731893 -3.02068321509801 FALSE ""
700 35 6 -1.25180079627998 3.31072038070418 2.13647010533816 -3.62186850090115 FALSE ""
600 124 7 -1.32217293679359 3.4330367970425 2.2867825130927 -3.5725280841466 FALSE ""
800 144 8 -1.29912034708394 3.44670092947317 1.90842174942388 -3.28710322362622 FALSE ""
600 8 9 -1.2820955413299 3.56551227540909 1.6481382262997 -3.06022042524464 FALSE ""
500 45 10 -1.28063442797491 3.33043655266103 2.12343573959847 -3.60266101344221 FALSE ""
500 47 11 -1.28897526807084 3.49601260840866 1.93154478866676 -3.38113519482527 FALSE ""
700 62 12 -1.29789473929389 3.33982353838825 2.13847793806617 -3.48110690584925 FALSE ""
1000 138 13 -1.3767534896163 3.49255398101151 2.19797980610521 -3.4734276059439 FALSE ""
900 42 14 -1.2281855407813 3.43923716631211 1.720701683578 -3.01926628734341 FALSE ""
800 193 15 -1.28052264797586 3.45482769092882 2.05495199851123 -3.56724588831996 FALSE ""
500 73 16 -1.28769828581499 3.40190693078957 2.08157561587903 -3.50927504501343 FALSE ""
500 174 17 -1.45552369180466 3.55309541091589 2.13670203249206 -3.11013403742481 FALSE ""
500 94 18 -1.34308360397719 3.35497068522538 2.38545966508099 -3.61985916846443 FALSE ""
900 99 19 -1.19610585685686 3.2928062538931 1.93160897840457 -3.28081740633931 FALSE ""
900 1 20 -1.36349367423435 3.45899472253638 2.48536032492636 -3.73131344056669 FALSE ""
500 52 21 -1.41539930010566 3.40778783265192 2.42091808797442 -3.45461595144871 FALSE ""
500 118 22 -1.32320524840985 3.21493517368983 2.44858330160094 -3.4630258042116 FALSE ""
900 131 23 -1.38734370420641 3.40289374924909 2.42528885933808 -3.64579581104744 FALSE ""
500 175 24 -1.3960332050314 3.42447952966101 2.19578834816815 -3.45923416904737 FALSE ""
900 138 25 -1.38546324468208 3.44328656558595 2.18995785470212 -3.37158539337004 FALSE ""
400 45 26 -1.45925511905614 3.52601928992117 2.46907457925775 -3.61661805766624 FALSE ""
400 92 27 -1.21112353424151 3.36190745747758 1.97894578023716 -3.38402108780682 FALSE ""
900 36 28 -1.21601743088876 3.36981161243511 2.06805059354627 -3.53496268496087 FALSE ""
800 117 29 -1.15780701665536 3.22247179588319 1.86649196106504 -3.19754464567241 FALSE ""
500 125 30 -1.36209380250757 3.40262936298806 2.55302969451013 -4.00971457507657 FALSE ""
900 39 31 -1.33211589136379 3.4238695919832 1.94939462653696 -2.90732077935886 FALSE ""
800 166 32 -1.43955452435806 3.51893807266532 2.41870056011976 -3.72554035950758 FALSE ""
500 127 33 -1.2679631931242 3.43737972063034 1.95162195665825 -3.37728896918169 FALSE ""
600 17 34 -1.43678320092842 3.44329591829928 2.60728686879261 -3.74556431846438 FALSE ""
1000 132 35 -1.17034971540496 3.24831962472994 1.81172601467882 -3.07319333537721 FALSE ""
500 154 36 -1.27022215948461 3.41922485827513 1.8765945134151 -3.16664355871615 FALSE ""
500 44 37 -1.50390329815005 3.48400397145732 2.58619416481259 -3.61722151850237 FALSE ""
400 12 38 -1.48312131124884 3.57316731898537 2.41163876458817 -3.70790839597182 FALSE ""
1000 190 39 -1.31586545843239 3.38654027810434 2.25459517460223 -3.75301736794538 FALSE ""
400 29 40 -1.31115280156908 3.45099530493063 2.20282897764012 -3.16885287401779 FALSE ""
1000 58 41 -1.44945435994932 3.5444287392767 2.30604226275692 -3.37261558725983 FALSE ""
400 102 42 -1.29777363754969 3.44182181029739 2.268035175334 -3.8050701507354 FALSE ""
600 102 43 -1.30115972965288 3.27995553391858 2.36150267709453 -3.41033805963219 FALSE ""
800 10 44 -1.37619972249481 3.53864156792917 2.24342229898458 -3.50411326807469 FALSE ""
600 80 45 -1.38259828616562 3.50914011684423 1.90086417754345 -2.98199591434503 FALSE ""
900 13 46 -1.23155874783255 3.48410486461387 1.80557919521388 -3.23932036041169 FALSE ""
600 190 47 -1.26633112849763 3.44077703499133 1.81860862359895 -3.32099970840819 FALSE ""
800 78 48 -1.29279761672471 3.29830379314491 2.07651257814761 -3.29877953859161 FALSE ""
700 106 49 -1.4840671188843 3.5477000162429 2.45839580165566 -3.6274507345858 FALSE ""
1000 151 50 -1.29401294181383 3.48319612375669 1.95888622887316 -3.5565214293208 FALSE ""
900 148 51 -1.42775299552242 3.50972248773925 2.37167652662399 -3.76070455041543 FALSE ""
400 100 52 -1.20913812118124 3.39343011038663 1.92134400932862 -3.29899629695145 FALSE ""
500 18 53 -1.24871325236631 3.24675572669934 2.02261962690843 -3.1584630381043 FALSE ""
400 50 54 -1.33408136640121 3.3390147360001 2.32594852703054 -3.6553975130635 FALSE ""
700 101 55 -1.35207749839441 3.43410239251804 1.94487040687151 -2.92172934019429 FALSE ""
700 28 56 -1.38649817031554 3.40836881892183 2.38234436650999 -3.53290125361146 FALSE ""
700 61 57 -1.41910128096028 3.51468350103459 2.50328338060884 -3.71272218150226 FALSE ""
900 10 58 -1.32213679666776 3.44880363321524 1.97086203279478 -3.1826832178375 FALSE ""
900 52 59 -1.29739949239058 3.38002276832763 2.03364443827506 -3.27238271782556 FALSE ""
1000 153 60 -1.32367459451545 3.33148329991484 2.50111525002825 -3.62367948844646 FALSE ""
600 105 61 -1.33695218268217 3.47176141442813 1.97816485904582 -3.32027408655194 FALSE ""
800 57 62 -1.24472294325265 3.34903988657513 1.94121890974525 -3.27526552982902 FALSE ""
