"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
300 328 1 -1.19597837916987 3.52372790678006 1.75158718593301 -3.10474142569077 FALSE ""
50 47 2 -1.43323387014986 3.2453925533462 2.80016382072376 -3.57409680489288 FALSE ""
300 343 3 -1.08175426960223 3.29959974627423 2.09118364427071 -4.16314312180354 FALSE ""
150 169 4 0.484800975391294 3.54962730577756 -1.89718499349809 -2.80155644956636 FALSE ""
300 219 5 -1.55637288900777 3.4001407510559 2.94097668403506 -3.75896861341996 FALSE ""
300 84 6 -1.29633487993807 3.41246636360791 2.22152104314821 -4.02342853399718 FALSE ""
150 212 7 -1.17862447997857 3.03621467463679 2.45056726653607 -3.87490561690574 FALSE ""
100 7 8 -1.47800839759723 3.69411107395479 2.1127370294166 -3.29917588660477 FALSE ""
300 316 9 -1.3704769576733 3.58567822593351 1.6544136113857 -2.76406620891352 FALSE ""
300 127 10 -1.46426576835532 3.37628631112264 2.60882119419181 -3.49196329601878 FALSE ""
300 11 11 -1.130083305266 3.50095326724802 1.38522594575691 -3.14370631917619 FALSE ""
150 134 12 -1.34368474810759 3.41103290557666 2.41084144615094 -3.83168983090417 FALSE ""
150 65 13 -1.40979428607688 3.51799783888949 1.93889759225762 -2.46588919020743 FALSE ""
300 131 14 0.615104114357518 3.34727925753055 -2.16502012709762 -2.64190612843244 FALSE ""
50 20 15 0.494407864368317 3.23058515151294 -1.65713079230825 -3.00642873916521 FALSE ""
300 56 16 -1.32808812411861 3.45087613535544 2.19341215338218 -3.48028205204457 FALSE ""
50 325 17 0.183385404656589 3.76055897999834 -1.80646175890583 -3.03069380705924 FALSE ""
200 73 18 0.512992364905677 3.66430189627017 -2.13322529742847 -3.12016093221642 FALSE ""
150 236 19 0.846028757877881 3.51789574714285 -2.64698749544769 -2.89570531811694 FALSE ""
300 266 20 -1.26591412026357 3.22603435815764 2.43770497646637 -3.49694253689187 FALSE ""
200 114 21 3.6274660018438 3.54533305211556 -8.45357892362205 -2.00742445229264 FALSE ""
100 265 22 0.62304853536956 3.58864241649057 -2.62335015706635 -2.10354332068182 FALSE ""
200 152 23 -1.25235670766548 3.40617762720425 2.00280121758867 -3.55755152302758 FALSE ""
100 214 24 0.53952845313099 3.80973761562065 -2.30410570892271 -3.38438121272499 FALSE ""
150 30 25 -1.25276411089465 3.21723922925677 2.40741444147938 -3.36738397494423 FALSE ""
100 99 26 -1.35659616224957 3.18868699015542 2.55177515381244 -2.46814997333841 FALSE ""
100 164 27 0.518211511069609 3.98424229981874 -2.8046998925064 -2.57893618203942 FALSE ""
150 343 28 -1.3408612095687 3.60320064732946 1.71794282723883 -3.23728977925848 FALSE ""
50 185 29 1.98830866391352 3.99937344222902 -5.36579223487646 -3.51293220032552 FALSE ""
200 338 30 -1.38850843623854 3.40438542905178 2.39860965723872 -3.44589376591915 FALSE ""
50 350 31 0.374386116301424 3.60640022377833 -1.95617826175398 -2.46793693490651 FALSE ""
50 45 32 0.30139496814698 3.28077830590036 -1.70698916435535 -1.9865194010563 FALSE ""
300 283 33 -1.4065476478862 3.5944241236879 2.20596018949944 -3.82676539909712 FALSE ""
300 164 34 -1.35741228274728 3.48987813523514 1.79732579024147 -2.94082402633484 FALSE ""
300 94 35 -1.18625016432602 3.17345308271338 1.82522238096573 -2.86952895529227 FALSE ""
50 170 36 -1.20567103010745 3.43607920938774 1.71677415043687 -2.94891721184225 FALSE ""
50 63 37 -1.71042190200774 3.6021709301803 3.61369400816513 -4.12654325934521 FALSE ""
300 388 38 -1.12299663465257 3.26972379527496 1.56887032832477 -3.10465303101618 FALSE ""
200 96 39 -1.45015596120031 3.54611432077852 2.20510748303903 -3.55416787150017 FALSE ""
100 111 40 -1.10868072553791 3.27877114937076 1.51275387382367 -3.16529409143207 FALSE ""
200 364 41 -1.45830105686705 3.6065812892509 1.99830328612272 -3.15563684209746 FALSE ""
300 90 42 -1.26954613805676 3.27693602349965 2.54159601283396 -4.54858737268902 FALSE ""
200 380 43 -1.33462862603016 3.55003212951901 1.45071401212113 -2.51214172485134 FALSE ""
200 337 44 -1.40672498986789 3.28653705618821 2.6748300813939 -3.49792470304284 FALSE ""
300 323 45 -1.39682987860411 3.50704104091661 2.31888016180405 -3.87491677907609 FALSE ""
200 68 46 -1.08335356692288 3.06669666159618 1.67253412083381 -3.00466300759615 FALSE ""
50 302 47 -1.12331762381696 3.44610501514172 0.692477500035631 -1.69716173824934 FALSE ""
150 375 48 -1.38440133413277 3.25208003428142 2.721055928979 -4.00145685932155 FALSE ""
300 267 49 -1.2894770814697 3.36703737136198 2.32001740754725 -3.66675421816439 FALSE ""
100 85 50 -1.41705040033841 3.40033568863859 2.57145708106776 -3.98580486142433 FALSE ""
100 56 51 2.5163348760274 3.74555816753744 -5.61771980049228 -3.65690199656123 FALSE ""
150 251 52 -1.19550579386841 3.58833471244486 1.22988384189336 -2.69383325909698 FALSE ""
200 59 53 0.540949542594444 3.34252741809163 -1.98374481749428 -2.86230552529279 FALSE ""
50 102 54 -1.40160548927291 3.26256073168604 2.93371735484808 -2.75953109433626 FALSE ""
50 62 55 -1.40986606893942 3.2188338346956 2.68508507885335 -3.86970066144779 FALSE ""
300 36 56 -1.22299973640689 3.3765546843773 1.91772204835972 -3.24265448456235 FALSE ""
150 305 57 -1.41786254707596 3.38414083164193 2.30365751855379 -3.08500257317594 FALSE ""
100 268 58 -1.46493634846686 3.84920822881483 1.73306457867262 -2.69264665516171 FALSE ""
150 240 59 -1.23066053838589 3.42790253811899 1.95232842409237 -3.02764649494674 FALSE ""
150 92 60 -1.3115175762849 3.24345749613081 2.75191308840048 -4.4654253279616 FALSE ""
150 201 61 -1.30743217231288 3.42341574394829 2.41217269514292 -3.76021379360909 FALSE ""
300 374 62 -1.31390373358861 3.28817480136973 2.48165370745167 -4.02722377537903 FALSE ""
200 373 63 -1.47540500807239 3.33286240606172 2.73813015078506 -3.90735146095817 FALSE ""
300 215 64 0.687864988707145 3.40619940604799 -2.14531904392542 -2.62494498264149 FALSE ""
200 164 65 -1.3207769365741 3.11244182094153 2.88210434565653 -3.90524454419468 FALSE ""
50 224 66 -1.00372068311607 2.8654729579706 2.364782805331 -4.30735839341334 FALSE ""
150 45 67 0.288574512565887 3.86044649796328 -1.85530901229138 -3.30102365665631 FALSE ""
150 2 68 1.52453140078817 3.53088109835792 -3.86121679946935 -2.62188645253423 FALSE ""
50 315 69 -0.862962365587554 2.88336780641446 1.93759903108099 -2.78517858120285 FALSE ""
50 44 70 -1.71360186884251 3.67710179843828 2.03363044317754 -2.44020717133913 FALSE ""
300 298 71 -1.47102351874461 3.49285184846837 2.49633141295602 -3.50584955673981 FALSE ""
200 217 72 -1.4269649863268 3.25626635857206 3.30928724889792 -4.18835507774364 FALSE ""
200 45 73 -1.3555495319245 3.49351686258125 2.26201358233333 -3.66114161338791 FALSE ""
100 117 74 -1.25039155022881 2.88691849191607 2.60447820425004 -3.79509047110143 FALSE ""
50 41 75 -1.72880074564988 3.62144912449126 3.9713855372605 -4.89337279518348 FALSE ""
150 102 76 2.66457500092867 3.42935957529234 -5.90640120077348 -2.89144437393802 FALSE ""
150 268 77 -1.38399973770801 3.43317888219877 3.19789353964559 -4.90376278113515 FALSE ""
