"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
150 1.5 0.5 632 1 1.22353931232161 0.650152235910014 FALSE ""
150 1 1.5 1134 2 1.05292710078083 1.1461055351434 FALSE ""
50 1 1.5 1113 3 0.882147321350633 2.8713831750722 FALSE ""
200 1.5 0.5 579 4 1.71049840754855 0.387426786163808 FALSE ""
200 1 1.5 696 5 1.00533825216874 1.24987627985496 FALSE ""
200 1.5 0.5 1952 6 1.30836762236626 0.638814499106799 FALSE ""
300 0.5 1.5 24 7 0.523177377378285 1.25407911759705 FALSE ""
300 0.5 1.5 461 8 0.48655761863855 1.73398821822296 FALSE ""
150 0.5 1.5 461 9 0.543859236521111 1.14049803266685 FALSE ""
150 1 0.5 323 10 1.0863063561656 0.398005986751677 FALSE ""
150 0.5 0.5 377 11 0.447434815174646 0.672335736731652 FALSE ""
200 0.5 1.5 637 12 0.44529595618252 1.78223515694274 FALSE ""
200 1 0.5 1729 13 1.02789367693721 0.555027623902076 FALSE ""
150 1.5 1.5 1272 14 1.78423240193487 1.16115848745233 FALSE ""
100 1 0.5 1839 15 0.881314697930375 0.571165516637701 FALSE ""
50 1.5 1.5 774 16 1.48643032299697 1.54874266134735 FALSE ""
200 0.5 0.5 819 17 0.523453687667818 0.479021351901789 FALSE ""
50 0.5 1.5 1788 18 0.381133366374776 4.04727106560519 FALSE ""
150 1 0.5 660 19 0.807193334248972 0.863288658473042 FALSE ""
150 1 1.5 29 20 1.35126430797376 0.66593545799264 FALSE ""
200 0.5 1.5 1237 21 0.537528922219223 1.43442611494582 FALSE ""
300 0.5 1.5 704 22 0.437915535133593 1.99168968604377 FALSE ""
300 1.5 1.5 1912 23 1.49663329034105 1.85984652623399 FALSE ""
200 1.5 1.5 1280 24 1.49532943319727 1.82049500366648 FALSE ""
150 0.5 0.5 1620 25 0.265446630604059 2.83882646741837 FALSE ""
300 1.5 0.5 440 26 1.60326727793539 0.420163777748878 FALSE ""
150 0.5 1.5 1209 27 0.544601831502822 1.19759027344473 FALSE ""
300 1 0.5 466 28 0.976821302473151 0.567451529971358 FALSE ""
50 1 1.5 918 29 0.845208253132415 2.98875447190507 FALSE ""
200 1 1.5 965 30 0.877708721233719 2.12958717429998 FALSE ""
200 1 0.5 1757 31 0.76494673141853 0.897298716148199 FALSE ""
300 1.5 1.5 368 32 1.58613186538565 1.3168799676263 FALSE ""
200 1.5 1.5 1305 33 1.26103328161672 2.69769268375958 FALSE ""
150 0.5 1.5 432 34 0.570907671878825 1.38037713240924 FALSE ""
200 0.5 1.5 866 35 0.567785965073714 1.12970870241371 FALSE ""
50 0.5 1.5 425 36 0.389320520656381 2.51532574370314 FALSE ""
100 0.5 0.5 1027 37 0.25226286355898 3.0361643141008 FALSE ""
200 1.5 1.5 825 38 1.42269276715315 1.80050822181154 FALSE ""
50 0.5 0.5 277 39 0.349011380608008 1.67559558440688 FALSE ""
100 1.5 0.5 1608 40 1.73506737516341 0.413033733554338 FALSE ""
300 1 0.5 76 41 1.17803854243368 0.375349015367906 FALSE ""
50 1 1.5 394 42 0.740914990194042 2.66290245742768 FALSE ""
150 1.5 1.5 1551 43 1.40694630606041 1.78755665032103 FALSE ""
300 1 0.5 364 44 1.3408245542723 0.311590810451347 FALSE ""
300 0.5 0.5 1029 45 0.479628508328389 0.541445266550413 FALSE ""
300 0.5 1.5 846 46 0.475771996416389 1.54532992665436 FALSE ""
150 1 1.5 467 47 0.939993614843803 1.69539983816257 FALSE ""
300 1 0.5 1039 48 0.964913068447803 0.53746662096162 FALSE ""
150 1 0.5 1491 49 0.76138262807112 1.01744772642963 FALSE ""
